source_id,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,enabled,org_unit_id
khu_005,경희대 건축공학과,https://archieng.khu.ac.kr/archieng/user/bbs/BMSR00040/list.do?menuNo=17900016,https://archieng.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,826
khu_006,경희대 건축학과(5년제),https://archi.khu.ac.kr/archi/user/bbs/BMSR00040/list.do?menuNo=18100018,https://archi.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,827
khu_007,경희대 기계공학과,https://me.khu.ac.kr/me/user/bbs/BMSR00040/list.do?menuNo=17300015,https://me.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,828
khu_008,경희대 산업경영공학과,https://ie.khu.ac.kr/ie/user/bbs/BMSR00040/list.do?menuNo=17400015,https://ie.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,830
khu_009,경희대 원자력공학과,https://ne.khu.ac.kr/ne/user/bbs/BMSR00040/list.do?menuNo=17500023,https://ne.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,832
khu_010,경희대 화학공학과,https://chemeng.khu.ac.kr/chemeng/user/bbs/BMSR00040/list.do?menuNo=17600017,https://chemeng.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,834
khu_011,경희대 신소재공학과,https://amie.khu.ac.kr/amie/user/bbs/BMSR00040/list.do?menuNo=17700015,https://amie.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,831
khu_012,경희대 사회기반시스템공학과,https://civileng.khu.ac.kr/civileng/user/bbs/BMSR00040/list.do?menuNo=17800016,https://civileng.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,829
khu_013,경희대 환경학및환경공학과,https://env.khu.ac.kr/env/user/bbs/BMSR00040/list.do?menuNo=18000015,https://env.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,835
khu_018,경희대 국어국문학과,https://human.khu.ac.kr/gukmun/user/bbs/BMSR00040/list.do?menuNo=16000042,https://human.khu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,783
